A ,A,A,A,A,W,W,E,E,E,E,W,W,W,W,W,G,G,G,G,W,W,W,H,H,H
W,A,A,A,A,A,W,E,E,E,E,W,W,W,GU,G,G,G,G,G,W,W,W,H,H,H
W,A,A,A,A,AR,W,E,E,E,ER,W,W,W,G,G,G,G,G,G,W,W,W,H,H,H
W,A,A,A,A,A,W,E,E,E,E,W,W,W,G,G,G,G,G,G,W,W,W,H,H,H
W,A,A,A,AD,A,W,E,E,E,E,W,W,W,G,G,G,G,G,GD,W,W,W,H,H,H
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,H,H,H
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,H,H,H
B,B,B,B,B,B,W,W,F,F,F,F,F,F,W,W,W,H,H,H,H,H,H,H,H,H
B,B,B,B,B,B,W,W,F,F,F,F,F,F,W,W,W,H,H,H,H,H,H,H,H,H
B,B,B,B,B,B,W,W,F,F,F,F,F,F,W,W,W,HL,H,H,H,H,H,H,H,H
B,B,B,B,B,B,W,W,F,F,F,F,F,F,W,W,W,HL,H,H,H,H,H,H,H,H
B,B,B,B,B,B,W,W,F,F,F,F,F,F,W,W,W,HL,,H,H,H,H,H,H,H
B,B,B,B,B,B,W,W,F,F,F,F,F,F,W,W,W,H,H,H,H,H,H,H,H,H
B,B,B,BD,BD,BD,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,HD,HD
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,D,D,D,D,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,D,D,D,D,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
C,C,W,W,W,W,W,D,D,D,D,W,S,S,S,S,S,W,M,M,M,M,M,M,W,W
C,C,CU,CU,W,D,D,D,D,D,D,W,S,S,S,S,S,W,M,M,M,M,M,M,W,W
C,C,C,CR,W,D,D,D,D,D,D,W,S,S,S,S,S,W,M,M,M,M,M,M,W,W
C,C,C,CR,W,D,D,D,D,D,DR,W,S,S,S,S,S,W,M,M,M,M,M,M,W,W
C,C,C,C,W,D,D,D,D,D,DR,W,S,S,S,S,S,W,M,M,M,M,M,W,W,W
C,C,C,C,W,D,D,D,D,D,DR,W,SL,S,S,S,S,W,M,M,M,M,M,W,W,W
C,C,C,C,W,D,D,D,D,D,DR,W,S,S,S,S,S,W,M,M,M,M,MD,W,W,W
C,C,C,C,W,D,D,D,D,D,D,W,S,S,S,S,S,W,M,M,M,M,W,W,W,W
C,C,C,C,W,D,D,D,D,D,D,W,S,S,S,S,S,W,M,M,M,M,W,W,W,W
